Orthogroup	Athaliana_Araport11	Knitens_v1.1	Mpolymorpha_v6	Pmargaritaceum_v1	Ppatens_v3.3
OG0000015	AT1G63450, AT1G68470, AT2G20370, AT2G29040, AT2G31990, AT2G32740, AT2G32750, AT4G13990, AT4G22580, AT5G41250, AT5G62220	kfl00158_0210	Mp6g05660, Mp6g07770, Mp7g09200, Mp8g00210	pm000037g0010, pm000638g0010, pm001205g0030, pm001253g0050, pm001479g0010, pm002144g0080, pm003136g0080, pm003221g0090, pm004193g0010, pm006214g0020, pm007225g0020, pm011497g0010, pm011813g0010, pm012277g0030, pm012772g0010, pm013878g0010, pm014096g0010, pm014438g0020, pm015954g0010, pm017053g0010, pm018735g0010, pm022102g0010, pm023072g0010, pm026575g0010, pm027763g0010, pm040138g0010, pm052590g0010, pm184471g0010	Pp3c13_10590, Pp3c13_10710, Pp3c13_15720, Pp3c16_19330, Pp3c17_6760, Pp3c25_6620, Pp3c26_14140, Pp3c26_14180, Pp3c3_21190, Pp3c3_2340, Pp3c4_25210, Pp3c5_12240, Pp3c6_14300
OG0000016	AT1G67090, AT5G38410, AT5G38420, AT5G38430	kfl00002_0370, kfl00012_0630, kfl00093_0320, kfl00117_0060	Mp4g05960, Mp4g05970, Mp4g05980, Mp4g05990, Mp4g06000, Mp4g06010, Mp4g06020, Mp4g06030, Mp4g06040, Mp4g06050, Mp4g09890, Mp4g10850, Mp4g15070, Mp4g15080, Mp7g08130, Mp7g08140, Mp7g08150	pm000242g0030, pm000248g0020, pm000248g0030, pm000248g0040, pm000850g0010, pm001049g0040, pm001630g0080, pm001702g0010, pm001879g0030, pm003335g0080, pm004551g0010, pm004551g0030, pm006005g0010, pm006679g0020, pm007112g0010, pm007112g0020, pm007764g0030, pm009774g0010, pm009933g0020, pm010382g0020, pm010446g0010, pm014545g0010, pm015598g0010, pm020652g0010, pm023175g0010, pm024007g0010, pm040294g0010, pm043940g0010, pm049286g0010, pm051439g0010, pm063461g0010, pm066862g0010, pm078982g0010, pm124456g0010, pm198254g0010, pm257687g0010	Pp3c12_11880, Pp3c12_19890, Pp3c12_7010, Pp3c12_7030, Pp3c13_15910, Pp3c15_22720, Pp3c15_22730, Pp3c19_1840, Pp3c19_3190, Pp3c22_540, Pp3c22_7400, Pp3c2_4100, Pp3c4_13260, Pp3c4_4820
OG0000017	AT1G52570, AT1G55180, AT2G42010, AT3G15730, AT4G00240, AT4G11830, AT4G11840, AT4G11850, AT4G35790, AT5G25370	kfl00011_0330, kfl00442_0040	Mp1g07530, Mp1g19150, Mp2g17310, Mp2g17320, Mp2g18270, Mp2g23410, Mp3g10710, Mp5g16720	pm003507g0070, pm009086g0040, pm018913g0050, pm020257g0020	Pp3c10_8450, Pp3c14_11070, Pp3c14_110700, Pp3c14_110701, Pp3c18_11020, Pp3c20_14190, Pp3c20_14280, Pp3c22_13400, Pp3c23_8920, Pp3c2_21270, Pp3c7_20610, Pp3c8_7870
OG0000020	AT1G11000, AT1G11310, AT1G26700, AT1G42560, AT1G61560, AT1G615600, AT2G17430, AT2G17480, AT2G33670, AT2G39200, AT2G44110, AT3G45290, AT4G02600, AT4G24250, AT5G53760, AT5G65970	kfl00140_0050	Mp2g01240, Mp3g17770, Mp4g10460, Mp5g01540	pm005625g0010, pm022910g0010, pm025308g0010	Pp3c15_10270, Pp3c22_8950, Pp3c23_1050, Pp3c24_13900, Pp3c26_10700, Pp3c3_6540, Pp3c4_24510, Pp3c4_24610, Pp3c4_24640, Pp3c8_18960, Pp3c9_10490
OG0000023	AT1G01310, AT1G50050, AT1G50060, AT2G14580, AT2G14610, AT2G19990, AT3G09590, AT3G19690, AT4G25780, AT4G25790, AT4G30320, AT4G31470, AT4G33710, AT4G33720, AT4G33730, AT5G26130, AT5G57625, AT5G66590	kfl00504_0030	Mp1g08990, Mp1g09000, Mp2g05480, Mp2g11950, Mp2g15970, Mp3g03430, Mp3g14100, Mp3g14110, Mp3g14130, Mp3g21890, Mp4g16750, Mp5g12510, Mp5g12540, Mp5g16820, Mp6g06330, Mp6g06340, Mp6g06360, Mp6g06400, Mp6g06410, Mp6g06420, Mp7g00440, Mp7g13960, Mpzg00760, Mpzg00770	pm000386g0020, pm000804g0070, pm000804g0080, pm001820g0040, pm003620g0040, pm004491g0030, pm005451g0030, pm005494g0030, pm005494g0050, pm009189g0030, pm009189g0040, pm016316g0010, pm029017g0010, pm036530g0010, pm036623g0010, pm058484g0010	Pp3c11_1180, Pp3c17_17400, Pp3c20_23110, Pp3c25_120, Pp3c25_500, Pp3c2_30710, Pp3c5_14360
OG0000024	AT1G05810, AT1G06400, AT1G07410, AT1G09630, AT1G16920, AT1G28550, AT2G31680, AT2G33870, AT2G43130, AT3G07410, AT3G12160, AT3G15060, AT3G46830, AT4G18430, AT4G18800, AT4G39990, AT5G45750, AT5G47520, AT5G47960, AT5G59150, AT5G60860, AT5G65270	kfl00160_0170	Mp3g00730, Mp3g12050, MpUg00350, MpVg00760	pm000037g0050, pm000129g0080, pm000293g0130, pm000744g0170, pm000836g0020, pm000900g0030, pm001351g0020, pm001677g0050, pm002012g0020, pm002652g0020, pm003475g0030, pm006079g0040, pm007000g0020, pm008174g0010, pm008686g0010, pm012126g0010, pm015460g0010, pm020522g0010, pm022908g0010	Pp3c10_14020, Pp3c14_15250, Pp3c14_15310, Pp3c17_6480, Pp3c1_28210, Pp3c20_15610, Pp3c23_7840, Pp3c24_5790, Pp3c24_9710, Pp3c2_10280, Pp3c3_27750, Pp3c3_28160, Pp3c8_5750
OG0000025	AT1G17260, AT1G80660, AT2G07560, AT2G18960, AT2G24520, AT3G42640, AT3G47950, AT3G60330, AT4G11730, AT4G30190, AT5G57350, AT5G62670	kfl00023_0090	Mp1g13700, Mp2g05000, Mp2g09680, Mp3g07690, Mp3g07700, Mp3g07710, Mp3g12380, Mp3g12390, Mp3g12400, Mp3g12410, Mp3g12440, Mp3g15070, Mp3g19090, Mp3g21600, Mp3g25030, Mp4g02970, Mp4g06820, Mp4g12350	pm000501g0070, pm003035g0030, pm009162g0010, pm010474g0010	Pp3c12_3320, Pp3c13_4380, Pp3c23_10370, Pp3c26_8740, Pp3c3_7160, Pp3c3_7180, Pp3c7_2650, Pp3c9_14700
OG0000027	AT1G31340, AT1G55060, AT1G65350, AT2G35635, AT3G09790, AT4G02890, AT4G05050, AT4G05320, AT5G03240, AT5G20620, AT5G37640	kfl00037_0290, kfl00272_g6, kfl00348_0100	Mp2g17420, Mp3g22950, Mp4g02730, Mp4g02740, Mp6g03960, Mp8g11720	pm005314g0060, pm006588g0040, pm007206g0020, pm008475g0020, pm008980g0030, pm009002g0020, pm011104g0020, pm013521g0020, pm015072g0020, pm042990g0010	Pp3c12_18200, Pp3c16_3920, Pp3c18_2470, Pp3c18_2510, Pp3c19_8830, Pp3c22_21900, Pp3c25_14180, Pp3c25_6580, Pp3c3_26770, Pp3c4_11430, Pp3c5_1920
OG0000030	AT1G07920, AT1G07930, AT1G07940, AT5G60390	kfl00046_0250	Mp1g26380, Mp3g03620, Mp3g23400, Mp6g00240, Mp6g00930, Mp6g00950, Mp6g17690, Mp6g17700, Mp6g17710, Mp6g17720, Mp6g18130, Mp6g18140	pm001107g0050, pm002766g0040, pm003443g0020, pm003962g0030, pm004306g0010, pm004339g0030, pm004648g0040, pm005587g0030, pm005626g0030, pm005758g0010, pm007402g0030, pm008453g0020, pm009039g0010, pm010898g0020, pm011216g0010, pm011231g0030, pm011948g0020, pm013476g0070, pm014360g0050, pm015782g0010, pm016815g0040, pm018481g0020, pm018492g0010, pm018849g0020, pm023679g0020, pm024047g0010, pm024751g0010, pm085637g0010	Pp3c1_23670, Pp3c1_23750, Pp3c1_23850, Pp3c1_23900, Pp3c1_23920, Pp3c2_10310, Pp3c2_6160, Pp3c2_6650, Pp3c2_6690, Pp3c2_6770, Pp3c5_10430
OG0000034	AT1G07870, AT1G17230, AT1G20650, AT1G61860, AT1G76370, AT2G28590, AT3G02810, AT3G07070, AT3G20530, AT3G24790, AT3G58690, AT4G02010, AT4G13190, AT5G02800, AT5G13160, AT5G16500, AT5G18610, AT5G42440	kfl00012_0320, kfl00016_0130, kfl00235_0170, kfl00310_0150	Mp2g02850, Mp2g15810, Mp3g18020, Mp6g09010, Mp7g08170	pm002071g0030, pm007983g0020, pm009773g0010, pm013663g0020, pm017130g0030, pm019979g0010, pm030701g0020, pm043265g0020, pm229238g0010	Pp3c24_15950, Pp3c5_17270, Pp3c5_17340, Pp3c5_18040, Pp3c6_15470, Pp3c6_16200, Pp3c6_16360
OG0000035	AT3G12250, AT5G06950, AT5G06960	kfl00079_0440, kfl00698_0060	Mp2g13330	pm011636g0040, pm012829g0020, pm016284g0040, pm043429g0020	Pp3c14_4880, Pp3c14_48800, Pp3c14_48801, Pp3c14_48802, Pp3c14_48803, Pp3c14_48804, Pp3c14_48805, Pp3c14_48806, Pp3c14_48807, Pp3c14_48808, Pp3c14_48809, Pp3c15_11920, Pp3c15_119202, Pp3c15_119203, Pp3c15_119206, Pp3c15_119207, Pp3c15_119208, Pp3c15_119200, Pp3c15_119201, Pp3c1_21760, Pp3c2_16080, Pp3c2_160802
OG0000038	AT1G05570, AT1G06490, AT2G13680, AT2G31960, AT2G36850, AT3G07160, AT3G14570, AT3G59100, AT4G03550, AT4G04970, AT5G13000, AT5G36870	kfl00500_0040, kfl00532_0020	Mp2g04240, Mp3g24830, Mp4g17120	pm010253g0010, pm012364g0030	Pp3c10_20860, Pp3c10_20867, Pp3c15_22960, Pp3c20_20530, Pp3c20_20533, Pp3c23_14230, Pp3c23_14232, Pp3c24_1600, Pp3c24_1607, Pp3c25_6500, Pp3c25_6507, Pp3c4_15060, Pp3c9_4140, Pp3c9_4143
OG0000039	AT1G10620, AT1G17230, AT1G23540, AT1G26150, AT1G49270, AT1G52290, AT1G68690, AT1G70450, AT1G70460, AT2G18470, AT2G37050, AT3G18810, AT3G24540, AT3G24550, AT4G32710, AT4G34440, AT5G38560, AT5G63930	kfl00210_0010, kfl00216_0120, kfl00257_0190, kfl00389_0150, kfl00904_0030	Mp2g07270, Mp4g03230, Mp4g03330, Mp4g18380, Mp4g18390	pm001630g0030, pm009110g0060, pm013719g0020, pm024514g0010, pm046905g0010	Pp3c10_15500, Pp3c12_24120, Pp3c15_5330, Pp3c4_1480, Pp3c8_22340
OG0000040	AT1G02800, AT1G19940, AT1G22880, AT1G23210, AT1G48930, AT1G64390, AT1G70710, AT1G71380, AT1G75680, AT2G32990, AT2G44540, AT2G44550, AT2G44560, AT2G44570, AT3G43860, AT4G02290, AT4G09740, AT4G11050, AT4G23560, AT4G39000, AT4G39010	kfl00013_0360, kfl00658_0030, kfl00836_0110, kfl01543_0010	Mp1g20540, Mp2g26250, Mp8g00020, Mp8g03630, Mp8g03880, Mp8g17860	pm000192g0070, pm000203g0040, pm001502g0010, pm008578g0010, pm017833g0010	Pp3c11_17980, Pp3c13_1470, Pp3c22_22830, Pp3c3_27100, Pp3c3_7980, Pp3c4_23640, Pp3c7_11750
OG0000041	AT1G01520, AT3G09600, AT4G01280, AT5G02840, AT5G52660	kfl00237_0160	Mp2g14310	pm001613g0080, pm010570g0030, pm024083g0020, pm094570g0010	Pp3c12_17450, Pp3c12_174500, Pp3c12_174501, Pp3c12_174502, Pp3c12_174503, Pp3c12_174504, Pp3c12_174505, Pp3c12_174506, Pp3c3_33220, Pp3c3_332200, Pp3c3_332201, Pp3c3_332202, Pp3c3_332203, Pp3c3_332204, Pp3c3_332205, Pp3c3_332206, Pp3c3_332207, Pp3c3_332208, Pp3c3_332209, Pp3c4_2590
OG0000042	AT1G07900, AT1G16530, AT1G31320, AT1G65620, AT2G28500, AT2G30130, AT2G30340, AT2G40470, AT3G11090, AT3G26620, AT3G26660, AT3G27650, AT5G63090, AT5G66870	kfl00147_0060, kfl00209_0160	Mp5g17820, Mp7g14810, Mp7g17250, Mp8g09250, Mpzg01450	pm003268g0020, pm006536g0020, pm009317g0050, pm011272g0030, pm012298g0010, pm079872g0010	Pp3c15_22780, Pp3c19_19400, Pp3c19_19610, Pp3c20_10200, Pp3c20_6540, Pp3c22_16800, Pp3c22_5950, Pp3c23_14630, Pp3c2_4771, Pp3c9_23930
OG0000043	AT1G43910, AT2G18190, AT2G18193, AT3G28510, AT3G28520, AT3G28540, AT3G28570, AT3G28580, AT3G28600, AT3G28610, AT3G50930, AT3G50940, AT4G05340, AT4G05380, AT4G25835, AT4G30250, AT5G17730, AT5G17740, AT5G17750, AT5G17760, AT5G40000, AT5G40010, AT5G57480	kfl00241_0050	Mp7g18570	pm000761g0060, pm002631g0050, pm003230g0040, pm005496g0020, pm005633g0020, pm005764g0010, pm005764g0020, pm006063g0050, pm007676g0040, pm015841g0010, pm020007g0010, pm062343g0010, pm251103g0010	Pp3c12_21960, Pp3c14_5870, Pp3c19_4520, Pp3c1_22130, Pp3c1_35560, Pp3c1_35610, Pp3c21_200, Pp3c8_710
OG0000044	AT1G10630, AT1G23490, AT1G70490, AT2G15310, AT2G24765, AT2G47170, AT3G62290, AT5G14670	kfl00010_0490, kfl00141_0120, kfl00141_0130, kfl00446_0020	Mp2g11170, Mp2g14560, Mp3g13920, Mp4g04230, Mp7g13050, Mp8g06130	pm000123g0160, pm002072g0020, pm003109g0070, pm003243g0030, pm004573g0010, pm005389g0030, pm006125g0010, pm009746g0010, pm011374g0030, pm018203g0010	Pp3c10_20740, Pp3c12_14910, Pp3c12_14940, Pp3c12_14945, Pp3c15_21880, Pp3c4_20580, Pp3c4_20601, Pp3c4_20623, Pp3c9_17560
OG0000045	AT1G22300, AT1G26480, AT1G34760, AT1G35160, AT1G78300, AT2G42590, AT3G02520, AT4G09000, AT5G10450, AT5G16050, AT5G38480, AT5G65430	kfl00098_0010, kfl00210_0150	Mp1g06270, Mp7g14230	pm000501g0050, pm001088g0060, pm004720g0030, pm006007g0030, pm008070g0020, pm012736g0030	Pp3c10_14160, Pp3c10_14250, Pp3c10_20300, Pp3c12_18760, Pp3c23_10780, Pp3c23_11080, Pp3c24_7310, Pp3c24_7780, Pp3c3_8510, Pp3c3_8540, Pp3c4_20750
